name*@version*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
braces@1.8.5,MIT,Jon Schlinkert,,,Javascript,,,github.com/micromatch/braces
handlebars@1.3.0,MIT,Yehuda Katz,,,Javascript,,,github.com/wycats/handlebars.js
http-proxy@1.18.0,MIT,Charlie Robbins, Jarrett Cruger & the Contributors,,,Javascript,,,github.com/http-party/node-http-proxy
jquery@3.3.1,MIT,The jQuery Foundation.,,,Javascript,,,github.com/jquery/jquery
minimist@0.0.10,MIT,Not declared,,,Javascript,,,github.com/substack/minimist
serialize-javascript@1.9.1,BSD-3-Clause,Yahoo! Inc.,,,Javascript,,,github.com/yahoo/serialize-javascript
tree-kill@1.2.1,MIT,Not declared,,,Javascript,,,github.com/pkrumins/node-tree-kill
uglify-js@2.3.6,BSD-2-Clause,Mihai Bazon,,,Javascript,,,github.com/mishoo/UglifyJS
yargs-parser@10.1.0,ISC,yargs-parser contributors,,,Javascript,,,github.com/yargs/yargs-parser
yargs-parser@11.1.1,ISC,yargs-parser contributors,,,Javascript,,,github.com/yargs/yargs-parser
yargs-parser@5.0.0,ISC,yargs-parser contributors,,,Javascript,,,github.com/yargs/yargs-parser
